bear, see(0.520),say(0.520),taste(0.486),wear(0.214),open(0.190),run(0.181),near(0.167),eat(0.158),hear(0.143),drive(0.085),ride(0.079),touch(0.070),break(0.069),enter(0.054),move(0.054),listen(0.041),approach(0.041),fill(0.031),clean(0.024),lift(0.018),rub(0.018),smell(0.018),fear(0.013),push(0.011),manipulate(0.000)
cat, say(0.592),see(0.449),eat(0.435),run(0.303),hear(0.208),open(0.175),smell(0.163),clean(0.146),move(0.088),listen(0.075),touch(0.075),near(0.069),enter(0.068),drive(0.053),ride(0.052),wear(0.048),fear(0.041),lift(0.041),break(0.033),fill(0.031),push(0.031),approach(0.028),taste(0.027),rub(0.022),manipulate(0.002)
cow, eat(0.421),fear(0.367),run(0.261),see(0.205),near(0.115),touch(0.080),smell(0.073),ride(0.067),hear(0.061),open(0.056),fill(0.048),move(0.045),enter(0.043),drive(0.042),rub(0.040),clean(0.039),taste(0.027),break(0.027),wear(0.025),listen(0.023),approach(0.014),lift(0.013),push(0.009),manipulate(0.000)
dog, eat(0.742),see(0.460),run(0.301),say(0.294),open(0.105),near(0.097),move(0.079),enter(0.078),hear(0.075),clean(0.072),smell(0.062),break(0.060),ride(0.054),wear(0.049),drive(0.042),approach(0.031),touch(0.023),listen(0.022),fill(0.020),taste(0.018),fear(0.015),lift(0.014),push(0.011),rub(0.004),manipulate(0.000)
horse, ride(0.961),run(0.128),see(0.123),say(0.119),open(0.092),eat(0.082),move(0.054),near(0.053),wear(0.052),drive(0.050),break(0.039),enter(0.034),hear(0.030),fear(0.023),smell(0.017),fill(0.017),touch(0.013),push(0.012),approach(0.012),clean(0.010),lift(0.009),taste(0.005),listen(0.003),rub(0.002),manipulate(0.000)
arm, lift(0.548),say(0.450),move(0.441),break(0.432),touch(0.206),open(0.147),see(0.132),run(0.103),push(0.084),near(0.079),drive(0.071),wear(0.048),rub(0.030),fill(0.026),enter(0.024),clean(0.021),approach(0.019),ride(0.010),eat(0.008),hear(0.007),listen(0.006),fear(0.005),manipulate(0.003),taste(0.002),smell(0.001)
eye, see(0.794),open(0.328),ride(0.325),wear(0.300),say(0.187),lift(0.105),clean(0.095),near(0.059),fill(0.042),move(0.042),enter(0.034),touch(0.029),break(0.027),run(0.025),fear(0.022),rub(0.011),hear(0.011),eat(0.011),approach(0.009),push(0.008),drive(0.007),taste(0.006),listen(0.004),smell(0.003),manipulate(0.001)
foot, break(0.481),wear(0.478),open(0.388),move(0.282),see(0.265),say(0.243),lift(0.229),near(0.212),touch(0.153),run(0.131),rub(0.105),drive(0.097),push(0.092),approach(0.054),ride(0.051),fill(0.039),enter(0.038),hear(0.036),fear(0.034),clean(0.032),eat(0.016),smell(0.009),taste(0.007),listen(0.001),manipulate(0.000)
hand, say(0.508),see(0.470),move(0.319),open(0.309),touch(0.299),drive(0.262),run(0.205),near(0.173),rub(0.166),lift(0.153),push(0.110),hear(0.082),fill(0.077),clean(0.069),break(0.068),enter(0.061),approach(0.031),wear(0.031),fear(0.029),eat(0.028),ride(0.016),manipulate(0.010),taste(0.009),listen(0.008),smell(0.006)
leg, break(0.821),lift(0.427),open(0.279),say(0.129),move(0.125),run(0.111),wear(0.091),see(0.070),drive(0.047),touch(0.046),push(0.038),rub(0.034),near(0.031),clean(0.018),enter(0.013),ride(0.011),eat(0.011),fill(0.010),approach(0.008),smell(0.003),hear(0.003),fear(0.001),taste(0.001),manipulate(0.000),listen(0.000)
apartment, move(0.654),near(0.619),clean(0.238),enter(0.210),see(0.200),open(0.122),say(0.093),fill(0.080),run(0.075),drive(0.070),break(0.064),smell(0.036),lift(0.024),hear(0.021),eat(0.012),approach(0.009),ride(0.007),listen(0.004),touch(0.002),push(0.002),fear(0.002),wear(0.000),taste(0.000),rub(0.000),manipulate(0.000)
barn, say(0.710),open(0.485),near(0.436),see(0.148),wear(0.104),enter(0.099),fill(0.094),run(0.092),move(0.055),clean(0.054),ride(0.041),drive(0.037),smell(0.025),lift(0.025),hear(0.021),approach(0.009),break(0.008),eat(0.006),touch(0.004),listen(0.003),fear(0.002),rub(0.001),taste(0.000),manipulate(0.000),push(0.000)
church, say(0.762),see(0.395),near(0.325),open(0.265),enter(0.153),run(0.143),move(0.112),hear(0.101),drive(0.099),fill(0.071),break(0.042),approach(0.033),fear(0.025),listen(0.025),wear(0.022),ride(0.019),clean(0.018),touch(0.010),push(0.005),eat(0.005),lift(0.004),taste(0.001),smell(0.001),manipulate(0.000),rub(0.000)
house, open(0.837),say(0.270),move(0.224),run(0.223),near(0.210),clean(0.166),see(0.148),enter(0.114),break(0.108),drive(0.058),fill(0.044),hear(0.035),eat(0.018),approach(0.016),listen(0.013),ride(0.013),smell(0.012),fear(0.011),wear(0.011),push(0.009),lift(0.007),touch(0.005),taste(0.002),manipulate(0.001),rub(0.000)
igloo, open(0.649),eat(0.564),see(0.420),say(0.204),enter(0.181),near(0.067),fill(0.067),hear(0.000),listen(0.000),taste(0.000),smell(0.000),touch(0.000),rub(0.000),manipulate(0.000),run(0.000),push(0.000),move(0.000),fear(0.000),approach(0.000),drive(0.000),wear(0.000),lift(0.000),break(0.000),clean(0.000),ride(0.000)
arch, near(0.614),see(0.474),open(0.422),move(0.268),say(0.244),clean(0.185),run(0.129),touch(0.127),drive(0.075),approach(0.060),fill(0.054),lift(0.053),break(0.047),eat(0.035),enter(0.032),fear(0.024),ride(0.018),wear(0.015),hear(0.012),listen(0.009),rub(0.007),push(0.004),taste(0.000),smell(0.000),manipulate(0.000)
chimney, clean(0.893),near(0.276),run(0.205),see(0.175),fill(0.126),say(0.119),open(0.100),enter(0.074),drive(0.070),push(0.037),wear(0.033),touch(0.030),move(0.027),break(0.015),smell(0.008),lift(0.006),approach(0.003),hear(0.003),listen(0.002),eat(0.002),taste(0.000),rub(0.000),manipulate(0.000),fear(0.000),ride(0.000)
closet, open(0.768),clean(0.515),see(0.258),say(0.161),enter(0.143),fill(0.121),run(0.094),move(0.059),near(0.057),wear(0.031),fear(0.017),approach(0.013),eat(0.013),drive(0.013),push(0.010),hear(0.009),lift(0.009),break(0.008),smell(0.007),rub(0.002),listen(0.002),touch(0.001),taste(0.000),manipulate(0.000),ride(0.000)
door, open(0.996),say(0.037),enter(0.036),near(0.031),see(0.029),run(0.027),hear(0.027),push(0.024),move(0.017),drive(0.015),break(0.012),approach(0.008),lift(0.008),listen(0.003),touch(0.003),clean(0.003),fill(0.002),fear(0.001),ride(0.001),wear(0.001),eat(0.001),smell(0.000),rub(0.000),taste(0.000),manipulate(0.000)
window, open(0.998),see(0.050),enter(0.014),move(0.012),run(0.010),near(0.009),say(0.008),break(0.008),drive(0.007),fill(0.004),clean(0.003),lift(0.002),touch(0.002),wear(0.002),approach(0.002),hear(0.002),eat(0.001),push(0.001),listen(0.001),ride(0.001),manipulate(0.000),fear(0.000),smell(0.000),taste(0.000),rub(0.000)
coat, wear(0.739),open(0.580),drive(0.194),see(0.161),clean(0.136),say(0.127),ride(0.105),fill(0.054),run(0.045),move(0.040),touch(0.028),push(0.019),rub(0.018),near(0.016),lift(0.012),enter(0.011),break(0.009),smell(0.009),approach(0.007),hear(0.004),taste(0.003),eat(0.003),listen(0.002),fear(0.001),manipulate(0.000)
dress, wear(0.843),open(0.474),see(0.198),drive(0.101),say(0.092),clean(0.043),lift(0.037),eat(0.034),run(0.027),taste(0.023),move(0.017),push(0.016),ride(0.016),near(0.014),touch(0.014),enter(0.006),fill(0.006),approach(0.003),hear(0.003),listen(0.003),break(0.002),smell(0.001),rub(0.001),fear(0.001),manipulate(0.000)
pants, wear(0.773),open(0.616),see(0.102),break(0.066),say(0.063),ride(0.047),clean(0.027),run(0.017),push(0.015),move(0.013),touch(0.013),rub(0.012),fill(0.012),fear(0.010),approach(0.007),eat(0.007),hear(0.006),smell(0.005),enter(0.005),drive(0.004),near(0.004),lift(0.004),listen(0.003),taste(0.001),manipulate(0.000)
shirt, wear(0.739),open(0.554),say(0.302),see(0.177),clean(0.095),lift(0.075),run(0.058),break(0.045),touch(0.036),eat(0.036),ride(0.034),push(0.022),enter(0.017),fear(0.015),drive(0.011),move(0.011),fill(0.008),rub(0.006),smell(0.006),near(0.005),listen(0.004),taste(0.003),hear(0.002),approach(0.002),manipulate(0.000)
skirt, break(0.734),wear(0.520),lift(0.311),open(0.288),see(0.083),say(0.045),ride(0.028),push(0.025),run(0.020),clean(0.016),touch(0.016),move(0.013),rub(0.009),near(0.005),fill(0.002),drive(0.001),eat(0.001),smell(0.000),approach(0.000),fear(0.000),taste(0.000),enter(0.000),hear(0.000),listen(0.000),manipulate(0.000)
bed, near(0.590),open(0.489),see(0.340),say(0.322),run(0.212),move(0.207),clean(0.192),lift(0.114),eat(0.107),break(0.086),wear(0.085),fill(0.081),drive(0.074),hear(0.073),push(0.062),touch(0.048),enter(0.045),listen(0.039),approach(0.038),ride(0.021),fear(0.020),rub(0.019),smell(0.013),manipulate(0.011),taste(0.007)
chair, lift(0.920),say(0.285),open(0.141),move(0.137),see(0.117),push(0.102),near(0.060),touch(0.041),ride(0.031),fill(0.029),break(0.026),run(0.026),hear(0.022),clean(0.014),drive(0.010),listen(0.010),approach(0.008),eat(0.007),enter(0.004),rub(0.003),fear(0.003),wear(0.002),smell(0.001),taste(0.000),manipulate(0.000)
desk, open(0.862),say(0.273),see(0.267),near(0.193),clean(0.187),move(0.115),run(0.106),lift(0.078),approach(0.054),eat(0.038),ride(0.033),fill(0.029),push(0.024),touch(0.022),drive(0.022),enter(0.015),break(0.014),listen(0.014),hear(0.012),wear(0.002),rub(0.002),fear(0.001),smell(0.001),taste(0.000),manipulate(0.000)
dresser, open(0.812),say(0.444),see(0.247),move(0.192),near(0.164),clean(0.108),fill(0.057),rub(0.043),run(0.027),push(0.026),drive(0.022),touch(0.019),approach(0.011),wear(0.008),hear(0.000),listen(0.000),taste(0.000),smell(0.000),eat(0.000),manipulate(0.000),fear(0.000),enter(0.000),lift(0.000),break(0.000),ride(0.000)
table, see(0.992),open(0.087),say(0.046),move(0.044),fill(0.033),near(0.032),lift(0.025),run(0.022),enter(0.020),eat(0.017),approach(0.015),break(0.012),clean(0.011),touch(0.010),drive(0.009),push(0.008),wear(0.004),hear(0.003),ride(0.002),taste(0.002),listen(0.002),rub(0.001),manipulate(0.001),fear(0.001),smell(0.000)
ant, run(0.944),see(0.198),say(0.156),clean(0.132),open(0.130),move(0.074),eat(0.062),approach(0.023),break(0.017),near(0.017),lift(0.016),hear(0.016),enter(0.016),ride(0.015),drive(0.010),rub(0.006),taste(0.006),fill(0.005),fear(0.005),touch(0.005),listen(0.004),wear(0.003),manipulate(0.003),smell(0.000),push(0.000)
bee, see(0.671),say(0.596),break(0.302),approach(0.175),run(0.148),open(0.099),move(0.099),eat(0.092),listen(0.080),ride(0.067),near(0.054),hear(0.053),enter(0.046),clean(0.040),smell(0.027),drive(0.022),wear(0.021),fear(0.020),lift(0.018),push(0.015),fill(0.014),touch(0.013),manipulate(0.008),taste(0.004),rub(0.002)
beetle, drive(0.702),eat(0.487),say(0.379),see(0.256),open(0.203),move(0.064),clean(0.063),ride(0.063),run(0.060),wear(0.045),enter(0.025),lift(0.016),break(0.014),hear(0.014),near(0.013),fill(0.011),push(0.011),listen(0.000),taste(0.000),smell(0.000),touch(0.000),rub(0.000),manipulate(0.000),fear(0.000),approach(0.000)
butterfly, open(0.751),see(0.510),say(0.252),break(0.146),wear(0.141),run(0.140),touch(0.103),push(0.093),near(0.087),listen(0.081),eat(0.064),drive(0.060),fill(0.057),ride(0.050),move(0.044),fear(0.039),hear(0.037),rub(0.018),clean(0.013),lift(0.010),enter(0.009),taste(0.004),approach(0.004),smell(0.003),manipulate(0.000)
fly, drive(0.929),see(0.230),open(0.196),say(0.145),run(0.118),near(0.048),ride(0.045),hear(0.043),break(0.037),fear(0.027),wear(0.027),move(0.026),approach(0.023),eat(0.023),lift(0.019),touch(0.017),clean(0.010),enter(0.009),fill(0.006),listen(0.005),push(0.005),manipulate(0.002),taste(0.001),smell(0.001),rub(0.000)
bottle, open(0.821),fill(0.477),say(0.166),break(0.154),see(0.127),clean(0.113),drive(0.077),touch(0.062),push(0.054),rub(0.033),lift(0.033),taste(0.033),run(0.031),near(0.026),hear(0.019),enter(0.016),wear(0.016),move(0.015),eat(0.012),smell(0.010),ride(0.006),fear(0.005),listen(0.003),approach(0.003),manipulate(0.000)
cup, open(0.885),fill(0.291),run(0.190),say(0.180),see(0.133),lift(0.122),taste(0.097),touch(0.056),enter(0.055),move(0.053),drive(0.050),break(0.044),clean(0.044),ride(0.037),fear(0.036),wear(0.034),push(0.027),eat(0.025),near(0.014),rub(0.014),approach(0.006),listen(0.005),hear(0.002),smell(0.000),manipulate(0.000)
glass, fill(0.663),break(0.520),see(0.356),open(0.279),clean(0.203),say(0.137),touch(0.103),lift(0.083),near(0.048),run(0.035),hear(0.033),move(0.027),ride(0.025),eat(0.025),push(0.022),wear(0.021),enter(0.020),drive(0.014),rub(0.014),taste(0.011),approach(0.010),fear(0.006),smell(0.005),listen(0.004),manipulate(0.003)
knife, open(0.802),run(0.320),see(0.257),touch(0.244),say(0.204),clean(0.157),drive(0.128),near(0.115),eat(0.106),fear(0.073),push(0.069),wear(0.053),break(0.049),move(0.047),enter(0.042),lift(0.039),approach(0.030),fill(0.013),hear(0.006),rub(0.006),listen(0.005),ride(0.002),taste(0.002),smell(0.000),manipulate(0.000)
spoon, eat(0.741),open(0.523),run(0.299),say(0.142),clean(0.139),see(0.103),fill(0.103),lift(0.093),break(0.085),taste(0.074),push(0.049),move(0.042),drive(0.037),rub(0.019),near(0.017),listen(0.011),approach(0.010),touch(0.006),hear(0.006),enter(0.004),ride(0.002),smell(0.000),manipulate(0.000),fear(0.000),wear(0.000)
bell, say(0.779),listen(0.419),push(0.231),hear(0.217),see(0.209),open(0.182),run(0.146),drive(0.086),near(0.056),ride(0.048),move(0.044),enter(0.036),break(0.030),wear(0.027),touch(0.026),eat(0.023),lift(0.011),approach(0.011),clean(0.011),fill(0.006),fear(0.004),taste(0.002),rub(0.001),manipulate(0.000),smell(0.000)
key, enter(0.818),see(0.336),say(0.276),open(0.213),drive(0.168),move(0.166),approach(0.122),touch(0.092),run(0.072),break(0.058),near(0.055),fill(0.045),push(0.038),fear(0.028),hear(0.028),clean(0.014),listen(0.013),wear(0.012),eat(0.011),lift(0.006),ride(0.005),taste(0.003),manipulate(0.003),rub(0.001),smell(0.000)
refrigerator, open(0.894),clean(0.362),fill(0.157),see(0.102),eat(0.099),run(0.087),say(0.080),move(0.057),near(0.050),touch(0.040),enter(0.039),break(0.027),drive(0.017),hear(0.011),smell(0.010),taste(0.010),push(0.010),lift(0.006),rub(0.001),listen(0.000),manipulate(0.000),fear(0.000),approach(0.000),wear(0.000),ride(0.000)
telephone, see(0.775),say(0.468),enter(0.358),open(0.154),touch(0.143),near(0.042),hear(0.034),run(0.033),drive(0.030),break(0.029),listen(0.029),move(0.017),lift(0.016),push(0.011),fill(0.010),approach(0.008),fear(0.007),clean(0.006),wear(0.005),ride(0.001),eat(0.000),manipulate(0.000),smell(0.000),rub(0.000),taste(0.000)
watch, listen(0.782),open(0.562),see(0.179),say(0.156),drive(0.098),eat(0.049),run(0.040),move(0.027),wear(0.026),hear(0.021),ride(0.016),touch(0.015),break(0.013),clean(0.013),enter(0.008),fill(0.007),near(0.006),fear(0.006),push(0.003),approach(0.003),lift(0.003),taste(0.001),rub(0.001),smell(0.001),manipulate(0.000)
chisel, lift(0.737),touch(0.642),open(0.140),break(0.104),drive(0.096),say(0.035),clean(0.034),see(0.028),wear(0.024),run(0.022),move(0.020),manipulate(0.015),fill(0.012),rub(0.012),push(0.011),hear(0.000),listen(0.000),taste(0.000),smell(0.000),eat(0.000),fear(0.000),approach(0.000),near(0.000),enter(0.000),ride(0.000)
